asin,product_name,brand_name,product_category,number_of_reviews,review_rating
B002P8PZV4,"DENAQ 8-Cell 75Whr/5200mAh Replacement Li-Ion Laptop Battery for HP Pavilion DV7, DV7-1000, DV7-1100, DV8, DV8-1000, HDX, HDX X18, HDX X18-1000; Part: DQ-HSTNN-IB75",Denaq,pc,0,0
B002P9DFRY,"DENAQ 76W, 19.5V, 3.9A, 6.0mm-4.4mm AC Adapter for SONY PCG FX103, FX105, FX108, FX109, FX11, FX120, FX140, FX150, FX170, FX190, FX200, FX201, FX202, FX203, FX205, FX209, FX210, FX215, FX220, FX240, FX250, FX270, FX290, FX300, FX301, FX302, FX310, FX33, FX340, FX370, FX390, FX401, FX403, FX404, FX405, FX501, FX502, FX503, FX505, FX50G, FX55, FX601, FX602, FX604, FX605, FX60G, FX60K, FX701, FX702,",Denaq,pc,0,0
B002P9GP62,"DENAQ 60W, 19V, 3.16A, 5.5mm-2.5mm AC Adapter for TOSHIBA Dynabook(SS425); TOSHIBA Satellite(1000, 1000-S157, 1000-S158, 1000-Z2, 1005, 1005-S157, 1005-S158, 1100, 1100-A210, 1100-DDR, 1100-S101, 1100-S1105, 1105, 1105-1110, 1105-S101, 1200, 1200-S121, 1200-S122, 1200-S252, 1600, 1605, 1620, 1620CDS, 1625, 1640, 1640CDT, 1670, 1670CDS, 1675, 1690, 1690CDT, 1695, 1700, 1710, 1715, 1730, 1730CDT, 17",Denaq,pc,1,4
B002P9KR5W,"DENAQ 75W, 19V, 3.95A, 5.5mm-2.5mm AC Adapter for TOSHIBA Satellite 1100, TOSHIBA Satellite 1105, TOSHIBA Satellite 1110, TOSHIBA Satellite 1115, TOSHIBA Satellite 1130, TOSHIBA Satellite 1135, TOSHIBA Satellite 1900, TOSHIBA Satellite 1905, TOSHIBA Satellite 2430, TOSHIBA Satellite 2435, TOSHIBA Satellite A100, TOSHIBA Satellite A105, TOSHIBA Satellite M40X, TOSHIBA Satellite M60, TOSHIBA Satelli",Denaq,pc,0,0
B002P9DJKM,"DENAQ 120W, 19V, 6.3A, 5.5mm-2.5mm AC Adapter for TOSHIBA SATELLITE A135, TOSHIBA SATELLITE A305D, TOSHIBA SATELLITE A35, TOSHIBA SATELLITE A60, TOSHIBA SATELLITE A65, TOSHIBA SATELLITE A70, TOSHIBA SATELLITE A75, TOSHIBA SATELLITE P10, TOSHIBA SATELLITE P200, TOSHIBA SATELLITE P205, TOSHIBA SATELLITE P205D, TOSHIBA SATELLITE P30, TOSHIBA SATELLITE P35; TOSHIBA SATELLITE PRO A30; Part: DQ-PA3290U-",Denaq,pc,1,5
B00GMPDAAO,"Kanto 2 Channel Powered PC Gaming Desktop Speakers – 3"""" Composite Drivers 3/4"""" Silk Dome Tweeter – Class D Amplifier - 100 Watts - Built-in USB DAC - Subwoofer Output - YU2GB (Gloss Black)",Kanto,pc,18,4.44
B00GMPDAHM,"Kanto 2 Channel Powered PC Gaming Desktop Speakers – 3"""" Composite Drivers 3/4"""" Silk Dome Tweeter – Class D Amplifier - 100 Watts - Built-in USB DAC - Subwoofer Output - YU2MB (Matte Black)",Kanto,pc,37,4.29
B00PK2POOU,Razer Leviathan: Dolby 5.1 Suround Sound - Bluetooth aptX Technology - Dedicated Powerful Subwoofer for Deep Immersive Bass - PC Gaming and Music Sound Bar,Razer,pc,284,3.95
B01NAYL9H2,Razer Blade Pro 17: Gaming Laptop - 4K Touchscreen - ULP Mechanical Keyboard - Intel Quad-Core Overclocked i7-7820HK - NVIDIA GeForce GTX 1080 – DDR4 32GB RAM - 1TB NVMe - Windows 10 - CNC Aluminum,Razer,pc,31,2.64
B01DPS4QQ2,"Razer ManO'War: Wireless 7.1 Surround Sound - 2.4 GHz Wireless Technology - Quick Action Controls - Unidirectional Retractable Mic - Gaming Headset Works with PC, PS4, & Xbox One",Razer,pc,711,3.01
